TSRW10,MATS5se,nN,AXp-7d,NaasC,Xc-5dv,Xch-5dv,GATS4dv,AXp-4d,AATSC5are,nHBAcc,ATSC5are,ATSC5se,piPC10,AXp-3d,PEOE_VSA5,SlogP_VSA10,GGI4,SlogP_VSA1,SMILES,Lambda max (nm),Solvent,lumo,Bandgap
48.36579387,-0.205179958,0,0.033206216,1,0.043698116,0,1.206256628,0.121101396,-0.036152289,4,-1.373786982,-1.009597751,6.382516385,0.184058883,0,0,1.066666667,5.625586319,O=C1OC2=CC=CC=C2C=C1C(OCC)=O,330,CH2Cl2,-2.49236,3.14798
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,330,3-ethoxypropionate,-2.47421,2.88241
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,330,Absolute ethanol,-2.47421,2.88241
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,330,Mineral oil,-2.47421,2.88241
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,330.9,Isopropyl myristate,-2.47421,2.88241
46.09024754,-0.414577413,1,0.03365284,2,0.094761404,0,1.181380768,0.121172698,-0.068420772,3,-2.599989342,-1.461863193,6.443985305,0.179151879,0,0,1.017777778,5.625586319,O=C1OC2=CC=CC=C2C(C)=C1C#N,331,CH2Cl2,-2.54562,3.24085
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,331.1,EtOH/H2O,-2.47421,2.88241
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,331.9,2-ethoxyethanol,-2.47421,2.88241
71.06006364,-0.102732315,0,0.041183568,4,0.027777778,0,1.096222769,0.140741674,-0.007909831,4,-1.40795,-0.96410238,7.191523452,0.213754916,0,0,1.004444444,0,CCCCCCCCOC(C(C=C1)=CC=C1/C=C/C2=CC=C(C(OCCCCCCCC)=O)C=C2)=O,332,CH2Cl2,-2.41985,2.96027
71.37748749,-0.109787421,0,0.037803745,4,0.027777778,0,1.133665681,0.135377545,-0.007700743,4,-1.55555,-1.16923022,7.249392724,0.209500504,0,0,1.324444444,0,CCCCC(CC)COC(C1=CC=C(/C=C/C2=CC=C(C=C2)C(OCC(CC)CCCC)=O)C=C1)=O,332,CH2Cl2,-2.47421,2.88241
